study,title,condition.variable,condition.value,condition.name,condition.text,blurb,Exclude,Manipulation_includes_question_1yes_2outcome,Notes
AnsonBRIEF60,Which Economy? Class and Partisan Biases in the Acquisition of Economic Information,"XTESS198, Q1_Choice","1, 1",Treatment group 1,"Please read the short new article below.

WASHINGTON --- Stocks were up last week, lending further evidence that the markets are headed for even stronger gains. The Dow Jones rallied substantially in the past quarter, as investors displayed a growing appetite for risk and a striking lack of concern about any reversal of fortune. ``Today's report continues to signal a solid investing environment that is likely to maintain its bullishness,"" said Omair Sharif, senior economist at RBS in Stamford, Connecticut.","We’ll ask you about a variety of topics in this survey.
In a moment, we’d like you to read a short news article. Please indicate which of the following you would be interested in reading about. You may not receive your preferred topic.
1.        The stock market
2.        Wages and income
3.        Unemployment

The first option (the stock market) is selected.",0,0,"LUKE. TO FIX.  
the treatment condition assignment is based on the participant's reported preference of topic. Once the P selects a topic, they may randomly be assigned to read either the topic the picked or a control text. There is randomization, but within the 3 treatment conditions, the participant chooses which one they get. The hypotheses also depend on selection effects. WE ARE KEEPING ONLY THE PEOPLE WHO SELECTED STOCKS"
AnsonBRIEF60,Which Economy? Class and Partisan Biases in the Acquisition of Economic Information,"XTESS198, Q1_Choice","2,1",Control group 1,"Please read the short new article below.

NEW YORK--- Verizon once again has bragging rights in the wireless industry.
The carrier took top honors in a new ranking of nationwide network performance by market research firm RootMetrics. Verizon ranked number one for reliability, speed, call and data performance, with AT&T a close second in all those categories. Those two firms held a significant advantage over third-ranked T-Mobile and fourth-ranked Sprint. RootMetrics conducted the study through the use of national surveys.","We’ll ask you about a variety of topics in this survey.
In a moment, we’d like you to read a short news article. Please indicate which of the following you would be interested in reading about. You may not receive your preferred topic.
1.        The stock market
2.        Wages and income
3.        Unemployment

The first option (the stock market) is selected.",0,0,"the treatment condition assignment is based on the participant's reported preference of topic. Once the P selects a topic, they may randomly be assigned to read either the topic the picked or a control text. There is randomization, but within the 3 treatment conditions, the participant chooses which one they get. The hypotheses also depend on selection effects. WE ARE KEEPING ONLY THE PEOPLE WHO SELECTED STOCKS"
Braman751,"Exploring the Role of Constitutional Considerations, Public Support and Personal Preferences in Citizen Assessments of Proposed Congressional Action on Immigration and Gun Control",XTESS225,1,"Gun Control, Clear Authority, 85% support","PLEASE READ THE ARTICLE CAREFULLY. After the article we will be asking you some questions about your reaction to the article and information presented.

New Federal Gun Regulations Raise Constitutional Concerns
 (AP - 7/1/16) Congress is considering federal legislation that would require background checks for all gun buyers, including those who purchase from private sellers, currently exempt from such regulations. The proposed legislation would also limit the sale and manufacture of ammunition in automatic magazines to ten rounds. A recent public opinion poll indicates “over 85%” of Americans support federal legislation addressing gun violence in these specific respects.

Gun rights advocates say that the proposed legislation is a violation of their Second Amendment rights.  They also argue that the federal law infringes on States’ police powers to regulate for the health, safety and morals of local citizens. James Lott, a representative from the National Rifle Association says, “this is just another example of Congress trying to impose its will on the citizens of the several states.” Matthew Lorne, a gun control advocate is quick to point out, “the bill only fills loopholes in current laws and bans extremely dangerous weapons.  No sportsman needs more than ten rounds to kill a deer.”

Legal experts overwhelmingly agree that Congress has the constitutional authority to enact such legislation in our federal system. “The Supreme Court would surely uphold this statute,” said Robert Farber, a constitutional law scholar at George Washington University.  “Article I gives Congress broad discretion to regulate goods shipped through interstate commerce, including firearms. It is true that most gun safety regulations are passed as a matter of state authority under the Tenth Amendment, but this law does not represent an impermissible intrusion on state police powers.”
",,0,0,No codebook
Braman751,"Exploring the Role of Constitutional Considerations, Public Support and Personal Preferences in Citizen Assessments of Proposed Congressional Action on Immigration and Gun Control",XTESS225,2,"Gun Control, Clear Authority, 15% support","PLEASE READ THE ARTICLE CAREFULLY. After the article we will be asking you some questions about your reaction to the article and information presented.

New Federal Gun Regulations Raise Constitutional Concerns
 (AP - 7/1/16) Congress is considering federal legislation that would require background checks for all gun buyers, including those who purchase from private sellers, currently exempt from such regulations. The proposed legislation would also limit the sale and manufacture of ammunition in automatic magazines to ten rounds. A recent public opinion poll indicates “under 15%” of Americans support federal legislation addressing gun violence in these specific respects.

Gun rights advocates say that the proposed legislation is a violation of their Second Amendment rights.  They also argue that the federal law infringes on States’ police powers to regulate for the health, safety and morals of local citizens. James Lott, a representative from the National Rifle Association says, “this is just another example of Congress trying to impose its will on the citizens of the several states.” Matthew Lorne, a gun control advocate is quick to point out, “the bill only fills loopholes in current laws and bans extremely dangerous weapons.  No sportsman needs more than ten rounds to kill a deer.”

Legal experts overwhelmingly agree that Congress has the constitutional authority to enact such legislation in our federal system. “The Supreme Court would surely uphold this statute,” said Robert Farber, a constitutional law scholar at George Washington University.  “Article I gives Congress broad discretion to regulate goods shipped through interstate commerce, including firearms. It is true that most gun safety regulations are passed as a matter of state authority under the Tenth Amendment, but this law does not represent an impermissible intrusion on state police powers.”
",,0,0,
Braman751,"Exploring the Role of Constitutional Considerations, Public Support and Personal Preferences in Citizen Assessments of Proposed Congressional Action on Immigration and Gun Control",XTESS225,3,"Gun Control, Divided, 85% support","PLEASE READ THE ARTICLE CAREFULLY. After the article we will be asking you some questions about your reaction to the article and information presented.

New Federal Gun Regulations Raise Constitutional Concerns
 (AP - 7/1/16) Congress is considering federal legislation that would require background checks for all gun buyers, including those who purchase from private sellers, currently exempt from such regulations. The proposed legislation would also limit the sale and manufacture of ammunition in automatic magazines to ten rounds. A recent public opinion poll indicates “over 85%” of Americans support federal legislation addressing gun violence in these specific respects.

Gun rights advocates say that the proposed legislation is a violation of their Second Amendment rights.  They also argue that the federal law infringes on States’ police powers to regulate for the health, safety and morals of local citizens. James Lott, a representative from the National Rifle Association says, “this is just another example of Congress trying to impose its will on the citizens of the several states.” Matthew Lorne, a gun control advocate is quick to point out, “the bill only fills loopholes in current laws and bans extremely dangerous weapons.  No sportsman needs more than ten rounds to kill a deer.”

Legal experts are currently divided about whether or not Congress would be overstepping its constitutional authority by enacting such legislation in our federal system.  “It is hard to say how the Supreme Court would rule on this issue,” said Robert Farber, a constitutional law scholar at George Washington University.  “Article I gives Congress broad discretion to regulate goods shipped through interstate commerce, including firearms, but most gun safety regulations are passed as a matter of state authority under the Tenth Amendment.  It is unclear whether this law represents an impermissible intrusion on state police powers.”",,0,0,
Braman751,"Exploring the Role of Constitutional Considerations, Public Support and Personal Preferences in Citizen Assessments of Proposed Congressional Action on Immigration and Gun Control",XTESS225,4,"Gun Control, Divided. 15% support","PLEASE READ THE ARTICLE CAREFULLY. After the article we will be asking you some questions about your reaction to the article and information presented.

New Federal Gun Regulations Raise Constitutional Concerns
 (AP - 7/1/16) Congress is considering federal legislation that would require background checks for all gun buyers, including those who purchase from private sellers, currently exempt from such regulations. The proposed legislation would also limit the sale and manufacture of ammunition in automatic magazines to ten rounds. A recent public opinion poll indicates “under 15%” of Americans support federal legislation addressing gun violence in these specific respects.

Gun rights advocates say that the proposed legislation is a violation of their Second Amendment rights.  They also argue that the federal law infringes on States’ police powers to regulate for the health, safety and morals of local citizens. James Lott, a representative from the National Rifle Association says, “this is just another example of Congress trying to impose its will on the citizens of the several states.” Matthew Lorne, a gun control advocate is quick to point out, “the bill only fills loopholes in current laws and bans extremely dangerous weapons.  No sportsman needs more than ten rounds to kill a deer.”

Legal experts are currently divided about whether or not Congress would be overstepping its constitutional authority by enacting such legislation in our federal system.  “It is hard to say how the Supreme Court would rule on this issue,” said Robert Farber, a constitutional law scholar at George Washington University.  “Article I gives Congress broad discretion to regulate goods shipped through interstate commerce, including firearms, but most gun safety regulations are passed as a matter of state authority under the Tenth Amendment.  It is unclear whether this law represents an impermissible intrusion on state police powers.”",,0,0,
Braman751,"Exploring the Role of Constitutional Considerations, Public Support and Personal Preferences in Citizen Assessments of Proposed Congressional Action on Immigration and Gun Control",XTESS225,5,"Gun Control, Clearly No Authority, 85% support","PLEASE READ THE ARTICLE CAREFULLY. After the article we will be asking you some questions about your reaction to the article and information presented.

New Federal Gun Regulations Raise Constitutional Concerns
 (AP - 7/1/16) Congress is considering federal legislation that would require background checks for all gun buyers, including those who purchase from private sellers, currently exempt from such regulations. The proposed legislation would also limit the sale and manufacture of ammunition in automatic magazines to ten rounds. A recent public opinion poll indicates “over 85%” of Americans support federal legislation addressing gun violence in these specific respects.

Gun rights advocates say that the proposed legislation is a violation of their Second Amendment rights.  They also argue that the federal law infringes on States’ police powers to regulate for the health, safety and morals of local citizens. James Lott, a representative from the National Rifle Association says, “this is just another example of Congress trying to impose its will on the citizens of the several states.” Matthew Lorne, a gun control advocate is quick to point out, “the bill only fills loopholes in current laws and bans extremely dangerous weapons.  No sportsman needs more than ten rounds to kill a deer.”

Legal experts overwhelmingly agree that Congress does not have the constitutional authority to enact such legislation in our federal system. “The Supreme Court would surely strike down this statute,” said Robert Farber, a constitutional law scholar at George Washington University.  “Article I gives Congress broad discretion to regulate goods shipped through interstate commerce, including firearms, but most gun safety regulations are passed as a matter of state authority under the Tenth Amendment. This law clearly represents an impermissible intrusion on state police powers.”",,0,0,
Braman751,"Exploring the Role of Constitutional Considerations, Public Support and Personal Preferences in Citizen Assessments of Proposed Congressional Action on Immigration and Gun Control",XTESS225,6,"Gun Control, Clearly No Authority, 15% support","PLEASE READ THE ARTICLE CAREFULLY. After the article we will be asking you some questions about your reaction to the article and information presented.

New Federal Gun Regulations Raise Constitutional Concerns
 (AP - 7/1/16) Congress is considering federal legislation that would require background checks for all gun buyers, including those who purchase from private sellers, currently exempt from such regulations. The proposed legislation would also limit the sale and manufacture of ammunition in automatic magazines to ten rounds. A recent public opinion poll indicates “under 15%” of Americans support federal legislation addressing gun violence in these specific respects.

Gun rights advocates say that the proposed legislation is a violation of their Second Amendment rights.  They also argue that the federal law infringes on States’ police powers to regulate for the health, safety and morals of local citizens. James Lott, a representative from the National Rifle Association says, “this is just another example of Congress trying to impose its will on the citizens of the several states.” Matthew Lorne, a gun control advocate is quick to point out, “the bill only fills loopholes in current laws and bans extremely dangerous weapons.  No sportsman needs more than ten rounds to kill a deer.”

Legal experts overwhelmingly agree that Congress does not have the constitutional authority to enact such legislation in our federal system. “The Supreme Court would surely strike down this statute,” said Robert Farber, a constitutional law scholar at George Washington University.  “Article I gives Congress broad discretion to regulate goods shipped through interstate commerce, including firearms, but most gun safety regulations are passed as a matter of state authority under the Tenth Amendment. This law clearly represents an impermissible intrusion on state police powers.”",,0,0,
Braman751,"Exploring the Role of Constitutional Considerations, Public Support and Personal Preferences in Citizen Assessments of Proposed Congressional Action on Immigration and Gun Control",XTESS225,7,"Immigration, Clear Authority, 85% support","PLEASE READ THE ARTICLE CAREFULLY. After the article we will be asking you some questions about your reaction to the article and information presented.

New Federal Law Regarding Tuition Benefits Raises Constitutional Concerns
(AP – 7/1/16) Federal lawmakers may make it significantly harder for undocumented college students to get the same tuition benefits as classmates they have grown up with.  Congress is considering a bill providing that no school that receives federal funding may allow undocumented students to receive in-state tuition benefits; any school that makes this sort of allowance will immediately lose all federal money that they receive. 

Schools use federal dollars for everything from building research facilities to funding student scholarships.  “This is a hit that no state university can afford to take,” said Matthew Lorne, president of Irving State University in Rhode Island. “It effectively forces state schools to punish undocumented students, and there is nothing we can do about it.” James Lott, the Congressman from Virginia who is sponsoring the bill, was quick to point out, “the law does not prevent anyone from attending college, it just requires undocumented students to pay the same as out of state students.  It stops those here illegally from getting the special treatment rightfully reserved for legal state residents.”

Currently it is up to each state to decide whether undocumented students can receive in-state tuition.  Eighteen states allow such benefits for undocumented students, while three states specifically prohibit undocumented students from receiving in-state tuition.  A recent public opinion poll indicates that “over 85%” of Americans support congressional action that restricts tuition benefits to undocumented students as a matter of national policy.

Legal experts overwhelmingly agree that Congress has the constitutional authority to enact such legislation in our federal system.  “The Supreme Court would surely uphold this statute,” said Robert Farber, a constitutional law professor at George Washington University. “Article I gives Congress broad discretion in saying how federal funds should be spent and making laws pertaining to immigration.  States are independent entities under the Tenth Amendment, but this is not an unfair intrusion on each state’s ability to decide how to allocate their own tuition benefits.”
",,0,0,
Braman751,"Exploring the Role of Constitutional Considerations, Public Support and Personal Preferences in Citizen Assessments of Proposed Congressional Action on Immigration and Gun Control",XTESS225,8,"Immigration, Clear Authority, 15% support","PLEASE READ THE ARTICLE CAREFULLY. After the article we will be asking you some questions about your reaction to the article and information presented.

New Federal Law Regarding Tuition Benefits Raises Constitutional Concerns
(AP – 7/1/16) Federal lawmakers may make it significantly harder for undocumented college students to get the same tuition benefits as classmates they have grown up with.  Congress is considering a bill providing that no school that receives federal funding may allow undocumented students to receive in-state tuition benefits; any school that makes this sort of allowance will immediately lose all federal money that they receive. 

Schools use federal dollars for everything from building research facilities to funding student scholarships.  “This is a hit that no state university can afford to take,” said Matthew Lorne, president of Irving State University in Rhode Island. “It effectively forces state schools to punish undocumented students, and there is nothing we can do about it.” James Lott, the Congressman from Virginia who is sponsoring the bill, was quick to point out, “the law does not prevent anyone from attending college, it just requires undocumented students to pay the same as out of state students.  It stops those here illegally from getting the special treatment rightfully reserved for legal state residents.”

Currently it is up to each state to decide whether undocumented students can receive in-state tuition.  Eighteen states allow such benefits for undocumented students, while three states specifically prohibit undocumented students from receiving in-state tuition.  A recent public opinion poll indicates that “under 15%” of Americans support congressional action that restricts tuition benefits to undocumented students as a matter of national policy.

Legal experts overwhelmingly agree that Congress has the constitutional authority to enact such legislation in our federal system.  “The Supreme Court would surely uphold this statute,” said Robert Farber, a constitutional law professor at George Washington University. “Article I gives Congress broad discretion in saying how federal funds should be spent and making laws pertaining to immigration.  States are independent entities under the Tenth Amendment, but this is not an unfair intrusion on each state’s ability to decide how to allocate their own tuition benefits.”
",,0,0,
Braman751,"Exploring the Role of Constitutional Considerations, Public Support and Personal Preferences in Citizen Assessments of Proposed Congressional Action on Immigration and Gun Control",XTESS225,9,"Immigration, Divided, 85% support","PLEASE READ THE ARTICLE CAREFULLY. After the article we will be asking you some questions about your reaction to the article and information presented.

New Federal Law Regarding Tuition Benefits Raises Constitutional Concerns
(AP – 7/1/16) Federal lawmakers may make it significantly harder for undocumented college students to get the same tuition benefits as classmates they have grown up with.  Congress is considering a bill providing that no school that receives federal funding may allow undocumented students to receive in-state tuition benefits; any school that makes this sort of allowance will immediately lose all federal money that they receive. 

Schools use federal dollars for everything from building research facilities to funding student scholarships.  “This is a hit that no state university can afford to take,” said Matthew Lorne, president of Irving State University in Rhode Island. “It effectively forces state schools to punish undocumented students, and there is nothing we can do about it.” James Lott, the Congressman from Virginia who is sponsoring the bill, was quick to point out, “the law does not prevent anyone from attending college, it just requires undocumented students to pay the same as out of state students.  It stops those here illegally from getting the special treatment rightfully reserved for legal state residents.”

Currently it is up to each state to decide whether undocumented students can receive in-state tuition.  Eighteen states allow such benefits for undocumented students, while three states specifically prohibit undocumented students from receiving in-state tuition.  A recent public opinion poll indicates that “over 85%” of Americans support congressional action that restricts tuition benefits to undocumented students as a matter of national policy.

Legal experts are currently divided about whether or not Congress would be overstepping its constitutional authority by enacting such legislation in our federal system.  “It is hard to say how the Supreme Court would rule on this issue,” said Robert Farber, a constitutional law professor at George Washington University. “Article I gives Congress broad discretion in saying how federal funds should be spent and making laws pertaining to immigration, but states are independent entities under the Tenth Amendment. It is unclear whether this legislation is an unfair intrusion on each state’s ability to decide how to allocate their own tuition benefits.”
",,0,0,
Braman751,"Exploring the Role of Constitutional Considerations, Public Support and Personal Preferences in Citizen Assessments of Proposed Congressional Action on Immigration and Gun Control",XTESS225,10,"Immigration, Divided, 15% support","PLEASE READ THE ARTICLE CAREFULLY. After the article we will be asking you some questions about your reaction to the article and information presented.

New Federal Law Regarding Tuition Benefits Raises Constitutional Concerns
(AP – 7/1/16) Federal lawmakers may make it significantly harder for undocumented college students to get the same tuition benefits as classmates they have grown up with.  Congress is considering a bill providing that no school that receives federal funding may allow undocumented students to receive in-state tuition benefits; any school that makes this sort of allowance will immediately lose all federal money that they receive. 

Schools use federal dollars for everything from building research facilities to funding student scholarships.  “This is a hit that no state university can afford to take,” said Matthew Lorne, president of Irving State University in Rhode Island. “It effectively forces state schools to punish undocumented students, and there is nothing we can do about it.” James Lott, the Congressman from Virginia who is sponsoring the bill, was quick to point out, “the law does not prevent anyone from attending college, it just requires undocumented students to pay the same as out of state students.  It stops those here illegally from getting the special treatment rightfully reserved for legal state residents.”

Currently it is up to each state to decide whether undocumented students can receive in-state tuition.  Eighteen states allow such benefits for undocumented students, while three states specifically prohibit undocumented students from receiving in-state tuition.  A recent public opinion poll indicates that “under 15%” of Americans support congressional action that restricts tuition benefits to undocumented students as a matter of national policy.

Legal experts are currently divided about whether or not Congress would be overstepping its constitutional authority by enacting such legislation in our federal system.  “It is hard to say how the Supreme Court would rule on this issue,” said Robert Farber, a constitutional law professor at George Washington University. “Article I gives Congress broad discretion in saying how federal funds should be spent and making laws pertaining to immigration, but states are independent entities under the Tenth Amendment. It is unclear whether this legislation is an unfair intrusion on each state’s ability to decide how to allocate their own tuition benefits.”",,0,0,
Braman751,"Exploring the Role of Constitutional Considerations, Public Support and Personal Preferences in Citizen Assessments of Proposed Congressional Action on Immigration and Gun Control",XTESS225,11,"Immigration, Clearly No Authority, 85% support","PLEASE READ THE ARTICLE CAREFULLY. After the article we will be asking you some questions about your reaction to the article and information presented.

New Federal Law Regarding Tuition Benefits Raises Constitutional Concerns
(AP – 7/1/16) Federal lawmakers may make it significantly harder for undocumented college students to get the same tuition benefits as classmates they have grown up with.  Congress is considering a bill providing that no school that receives federal funding may allow undocumented students to receive in-state tuition benefits; any school that makes this sort of allowance will immediately lose all federal money that they receive. 

Schools use federal dollars for everything from building research facilities to funding student scholarships.  “This is a hit that no state university can afford to take,” said Matthew Lorne, president of Irving State University in Rhode Island. “It effectively forces state schools to punish undocumented students, and there is nothing we can do about it.” James Lott, the Congressman from Virginia who is sponsoring the bill, was quick to point out, “the law does not prevent anyone from attending college, it just requires undocumented students to pay the same as out of state students.  It stops those here illegally from getting the special treatment rightfully reserved for legal state residents.”

Currently it is up to each state to decide whether undocumented students can receive in-state tuition.  Eighteen states allow such benefits for undocumented students, while three states specifically prohibit undocumented students from receiving in-state tuition.  A recent public opinion poll indicates that “over 85%” of Americans support congressional action that restricts tuition benefits to undocumented students as a matter of national policy.

Legal experts overwhelmingly agree that Congress does not have the constitutional authority to enact such legislation in our federal system.  “The Supreme Court would surely strike down this statute,” said Robert Farber, a constitutional law professor at George Washington University. “Article I gives Congress broad discretion in saying how federal funds should be spent and making laws pertaining to immigration, but states are independent entities under the Tenth Amendment. This is clearly an unfair intrusion on each state’s ability to decide how to allocate their own tuition benefits.”",,0,0,
Braman751,"Exploring the Role of Constitutional Considerations, Public Support and Personal Preferences in Citizen Assessments of Proposed Congressional Action on Immigration and Gun Control",XTESS225,12,"Immigration, Clearly No Authority, 15% support","PLEASE READ THE ARTICLE CAREFULLY. After the article we will be asking you some questions about your reaction to the article and information presented.

New Federal Law Regarding Tuition Benefits Raises Constitutional Concerns
(AP – 7/1/16) Federal lawmakers may make it significantly harder for undocumented college students to get the same tuition benefits as classmates they have grown up with.  Congress is considering a bill providing that no school that receives federal funding may allow undocumented students to receive in-state tuition benefits; any school that makes this sort of allowance will immediately lose all federal money that they receive. 

Schools use federal dollars for everything from building research facilities to funding student scholarships.  “This is a hit that no state university can afford to take,” said Matthew Lorne, president of Irving State University in Rhode Island. “It effectively forces state schools to punish undocumented students, and there is nothing we can do about it.” James Lott, the Congressman from Virginia who is sponsoring the bill, was quick to point out, “the law does not prevent anyone from attending college, it just requires undocumented students to pay the same as out of state students.  It stops those here illegally from getting the special treatment rightfully reserved for legal state residents.”

Currently it is up to each state to decide whether undocumented students can receive in-state tuition.  Eighteen states allow such benefits for undocumented students, while three states specifically prohibit undocumented students from receiving in-state tuition.  A recent public opinion poll indicates that “under 15%” of Americans support congressional action that restricts tuition benefits to undocumented students as a matter of national policy.

Legal experts overwhelmingly agree that Congress does not have the constitutional authority to enact such legislation in our federal system.  “The Supreme Court would surely strike down this statute,” said Robert Farber, a constitutional law professor at George Washington University. “Article I gives Congress broad discretion in saying how federal funds should be spent and making laws pertaining to immigration, but states are independent entities under the Tenth Amendment. This is clearly an unfair intrusion on each state’s ability to decide how to allocate their own tuition benefits.”",,0,0,
CorstangeBRIEF69,American Responses to the Syrian Refugee Crisis,XTESSCORS,1,Group 1,"As you may have seen in the news, the Syrian civil war has killed up to half a million people so far, and more than 5 million people have fled the country.  People have explained the Syrian conflict in a number of different ways.",,0,0,Conditions 5-8 randomly pick one vignette from a set of vignettes. I always chose the first vignette from the set of vignettes in the conditions.
CorstangeBRIEF69,American Responses to the Syrian Refugee Crisis,XTESSCORS,2,Group 2,"As you may have seen in the news, the Syrian civil war has killed up to half a million people so far, and more than 5 million people have fled the country.  People have explained the Syrian conflict in a number of different ways.  For example, some have described it as a conflict between democracy and dictatorship.",,0,0,Conditions 5-8 randomly pick one vignette from a set of vignettes. I always chose the first vignette from the set of vignettes in the conditions.
CorstangeBRIEF69,American Responses to the Syrian Refugee Crisis,XTESSCORS,3,Group 3,"As you may have seen in the news, the Syrian civil war has killed up to half a million people so far, and more than 5 million people have fled the country.  People have explained the Syrian conflict in a number of different ways.  For example, some have described it as a conflict between moderates and religious extremists.",,0,0,Conditions 5-8 randomly pick one vignette from a set of vignettes. I always chose the first vignette from the set of vignettes in the conditions.
CorstangeBRIEF69,American Responses to the Syrian Refugee Crisis,XTESSCORS,4,Group 4,"As you may have seen in the news, the Syrian civil war has killed up to half a million people so far, and more than 5 million people have fled the country.  People have explained the Syrian conflict in a number of different ways.  For example, some have described it as a conflict between the majority population of Sunnis against religious minorities such as Shiites, Alawites, and Christians.",,0,0,Conditions 5-8 randomly pick one vignette from a set of vignettes. I always chose the first vignette from the set of vignettes in the conditions.
CorstangeBRIEF69,American Responses to the Syrian Refugee Crisis,XTESSCORS,5,Group 5,"As you may have seen in the news, the Syrian civil war has killed up to half a million people so far, and more than 5 million people have fled the country.  People have explained the Syrian conflict in a number of different ways.  For example, some have described it as a conflict between democracy and dictatorship, and other people have described it as a conflict between moderates and religious extremists.",,0,0,Conditions 5-8 randomly pick one vignette from a set of vignettes. I always chose the first vignette from the set of vignettes in the conditions.
CorstangeBRIEF69,American Responses to the Syrian Refugee Crisis,XTESSCORS,6,Group 6,"As you may have seen in the news, the Syrian civil war has killed up to half a million people so far, and more than 5 million people have fled the country.  People have explained the Syrian conflict in a number of different ways.  For example, some have described it as a conflict between democracy and dictatorship, and other people have described it as a conflict between the majority population of Sunnis against religious minorities such as Shiites, Alawites, and Christians.",,0,0,Conditions 5-8 randomly pick one vignette from a set of vignettes. I always chose the first vignette from the set of vignettes in the conditions.
CorstangeBRIEF69,American Responses to the Syrian Refugee Crisis,XTESSCORS,7,Group 7,"As you may have seen in the news, the Syrian civil war has killed up to half a million people so far, and more than 5 million people have fled the country.  People have explained the Syrian conflict in a number of different ways.  For example, some have described it as a conflict between moderates and religious extremists, and other people have described it as a conflict between the majority population of Sunnis against religious minorities such as Shiites, Alawites, and Christians.",,0,0,Conditions 5-8 randomly pick one vignette from a set of vignettes. I always chose the first vignette from the set of vignettes in the conditions.
CorstangeBRIEF69,American Responses to the Syrian Refugee Crisis,XTESSCORS,8,Group 8,"As you may have seen in the news, the Syrian civil war has killed up to half a million people so far, and more than 5 million people have fled the country.  People have explained the Syrian conflict in a number of different ways.  For example, some have described it as a conflict between democracy and dictatorship, other people have described it as a conflict between moderates and religious extremists, and others have described it as a conflict between the majority population of Sunnis and religious minorities such as Shiites, Alawites, and Christians.",,0,0,Conditions 5-8 randomly pick one vignette from a set of vignettes. I always chose the first vignette from the set of vignettes in the conditions.
WallaceS9,"International Law, (Non)Compliance, and Domestic Audience Costs","P_OBLIGE, P_FORCE","1, 2",Group 1,"The U.S. president said the United States would stay out of the conflict.

The attacking country continued to invade. In the end, the president did not send U.S. military
forces to help to push out the invaders.","The following questions are about U.S. relations with other countries around the world. You will read about a situation our country has faced many times in the past and will probably face again.

Different leaders have handled the situation in different ways. We will describe one approach U.S. leaders have taken, and ask whether you approve or disapprove.

A foreign country sent its military to take over a neighboring country",0,0,
WallaceS9,"International Law, (Non)Compliance, and Domestic Audience Costs","P_OBLIGE, P_FORCE","1, 1",Group 2,"The U.S. president said the United States would stay out of the conflict.

The attacking country continued to invade. In the end, the president sent U.S. military forces to
help to push out the invaders.","The following questions are about U.S. relations with other countries around the world. You will read about a situation our country has faced many times in the past and will probably face again.

Different leaders have handled the situation in different ways. We will describe one approach U.S. leaders have taken, and ask whether you approve or disapprove.

A foreign country sent its military to take over a neighboring country",0,0,
WallaceS9,"International Law, (Non)Compliance, and Domestic Audience Costs","P_OBLIGE, P_FORCE","2, 2",Group 3,"The U.S. president said that if the attack continued, the U.S. military would help to push out the invaders.

The attacking country continued to invade. In the end, the president did not send U.S. military
forces to help to push out the invaders.","The following questions are about U.S. relations with other countries around the world. You will read about a situation our country has faced many times in the past and will probably face again.

Different leaders have handled the situation in different ways. We will describe one approach U.S. leaders have taken, and ask whether you approve or disapprove.

A foreign country sent its military to take over a neighboring country",0,0,
WallaceS9,"International Law, (Non)Compliance, and Domestic Audience Costs","P_OBLIGE, P_FORCE","2, 1",Group 4,"The U.S. president said that if the attack continued, the U.S. military would help to push out the invaders.

The attacking country continued to invade. In the end, the president sent U.S. military forces to
help to push out the invaders.","The following questions are about U.S. relations with other countries around the world. You will read about a situation our country has faced many times in the past and will probably face again.

Different leaders have handled the situation in different ways. We will describe one approach U.S. leaders have taken, and ask whether you approve or disapprove.

A foreign country sent its military to take over a neighboring country",0,0,
WallaceS9,"International Law, (Non)Compliance, and Domestic Audience Costs","P_OBLIGE, P_FORCE","3, 2",Group 5,"The U.S. president said that if the attack continued, the U.S. military would help to push out the
invaders.

The United States also previously took part in an international meeting that created guidelines
recommending that the U.S. military would take actions against the invaders. 

The attacking country continued to invade. In the end, the president decided not to follow these
guidelines, and did not send U.S. military forces to help to push out the invaders.","The following questions are about U.S. relations with other countries around the world. You will read about a situation our country has faced many times in the past and will probably face again.

Different leaders have handled the situation in different ways. We will describe one approach U.S. leaders have taken, and ask whether you approve or disapprove.

A foreign country sent its military to take over a neighboring country",0,0,
WallaceS9,"International Law, (Non)Compliance, and Domestic Audience Costs","P_OBLIGE, P_FORCE","3, 1",Group 6,"The U.S. president said that if the attack continued, the U.S. military would help to push out the
invaders.

The United States also previously took part in an international meeting that created guidelines
recommending that the U.S. military would take actions against the invaders. 

The attacking country continued to invade. In the end, the president decided to follow these
guidelines, and sent U.S. military forces to help to push out the invaders.","The following questions are about U.S. relations with other countries around the world. You will read about a situation our country has faced many times in the past and will probably face again.

Different leaders have handled the situation in different ways. We will describe one approach U.S. leaders have taken, and ask whether you approve or disapprove.

A foreign country sent its military to take over a neighboring country",0,0,
WallaceS9,"International Law, (Non)Compliance, and Domestic Audience Costs","P_OBLIGE, P_FORCE","4, 2",Group 7,"The U.S. president said that if the attack continued, the U.S. military would help to push out the
invaders.

The United States also previously signed an international treaty where it made a formal promise
that the U.S. military would take actions against the invaders.

The attacking country continued to invade. In the end, the president decided not to keep this
treaty promise, and did not send U.S. military forces to help to push out the invaders.","The following questions are about U.S. relations with other countries around the world. You will read about a situation our country has faced many times in the past and will probably face again.

Different leaders have handled the situation in different ways. We will describe one approach U.S. leaders have taken, and ask whether you approve or disapprove.

A foreign country sent its military to take over a neighboring country",0,0,
